Genus,species_name,species,museum,MusID,sex,femur_head,NSA,NECK,L2,L4,FTA,PS,PI,AS,AI,total_area,SUP,ANT,acetab_diameter,pelvic_breadth,abduction,abducted_knee_position
Erythrocebus,patas,Erythrocebus_patas,USNM,238072,1,17.75,95.03,17.01,183.88,18.42,62.57,178.68,83.83,177.76,134.43,574.71,119.15,98.85,18.92,37.77,17.64,117.11
Erythrocebus,patas,Erythrocebus_patas,USNM,399317,1,18.77,107.32,17.06,200.18,22.08,64.41,198.07,93.46,192.54,153.01,637.07,110.92,102.09,20.88,45.41,29.57,161.70
Erythrocebus,patas,Erythrocebus_patas,USNM,257013,2,15.17,95.72,14.80,154.51,11.37,67.30,130.16,66.57,150.89,119.75,467.36,120.27,105.27,16.24,31.93,33.85,130.26
Erythrocebus,patas,Erythrocebus_patas,ZSM,AP71,2,15.01,103.31,13.91,138.30,15.66,61.18,132.90,77.50,136.84,123.33,470.57,111.97,99.98,16.73,33.02,38.69,132.34
Gorilla,beringei,Gorilla_beringei,USNM,395636,1,49.76,110.23,64.39,311.37,45.30,76.51,1301.50,899.35,1486.50,1288.63,4975.98,108.98,102.88,53.52,113.39,35.12,336.06
Gorilla,beringei,Gorilla_beringei,USNM,397351,1,49.31,119.24,71.59,307.09,61.39,77.52,1152.61,845.60,1253.17,1278.85,4530.23,94.48,104.53,53.78,122.21,23.98,307.70
Gorilla,beringei,Gorilla_beringei,USNM,545039,1,48.33,104.05,64.66,314.78,38.80,75.47,1255.62,925.85,1307.75,1217.99,4707.20,103.84,97.21,52.97,110.54,21.17,269.25
Gorilla,beringei,Gorilla_beringei,USNM,396935,2,40.95,115.18,50.81,266.00,44.91,73.72,823.65,617.29,854.01,796.45,3091.40,98.86,96.22,45.38,98.92,32.70,280.14
Gorilla,beringei,Gorilla_beringei,USNM,545042,2,38.69,117.98,45.31,244.23,38.86,77.15,714.32,532.99,816.00,807.31,2870.61,96.84,104.17,42.43,96.74,38.81,280.75
Gorilla,beringei,Gorilla_beringei,USNM,545045,2,40.55,107.16,48.43,267.58,39.25,71.26,814.97,583.82,905.47,781.75,3086.00,102.64,100.70,45.30,98.91,29.73,261.66
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1057,1,47.78,113.47,61.92,305.14,48.54,77.80,1112.42,645.49,1324.07,1228.86,4310.83,105.04,99.84,52.42,102.03,44.76,368.17
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1407,1,54.88,100.40,61.92,342.11,41.98,71.99,1602.35,980.41,1817.80,1628.36,6028.92,105.37,103.00,62.76,114.94,29.83,333.60
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1409,1,51.59,96.24,60.50,355.78,39.74,64.44,1453.60,893.65,1721.12,1367.86,5436.24,113.50,94.00,57.15,103.69,45.01,393.74
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1431,1,48.41,107.80,64.26,318.59,48.21,72.53,1239.40,752.73,1349.89,1305.77,4647.79,104.41,97.58,55.82,101.90,41.40,369.03
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1728,1,56.50,111.17,68.80,327.13,62.70,67.76,1691.08,1241.50,1889.31,1913.31,6735.19,97.64,97.96,61.86,101.25,33.00,334.98
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1731,1,46.98,87.78,58.95,336.35,28.90,66.58,1139.05,532.68,1481.84,1224.95,4378.52,119.20,102.89,50.74,91.45,36.46,333.36
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1732,1,49.67,105.12,66.26,315.84,48.17,69.58,1358.80,763.53,1528.24,1411.14,5061.71,109.11,100.51,55.44,99.43,48.73,375.93
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1733,1,52.48,85.46,67.43,350.47,29.69,65.17,1569.81,863.45,1709.40,1433.97,5576.63,113.12,101.92,59.51,119.13,37.29,357.83
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1994,1,49.41,93.78,58.03,306.17,34.54,68.66,1261.40,721.56,1340.07,1245.38,4568.41,106.48,105.29,55.46,106.06,34.29,310.32
Gorilla,gorilla,Gorilla_gorilla_gorilla,USNM,174722,1,49.07,107.45,61.30,298.14,44.76,71.35,1211.69,639.60,1498.18,1226.37,4575.84,112.13,110.99,54.48,98.73,46.17,356.15
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1423,2,40.26,91.39,46.41,288.81,27.97,66.34,865.55,490.54,928.81,715.09,2999.99,113.51,92.72,47.19,96.13,45.30,325.93
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1710,2,40.42,109.18,44.39,278.67,34.59,74.99,813.23,519.91,923.40,744.71,3001.25,106.61,98.78,45.17,84.07,52.98,339.69
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1756,2,39.91,110.88,41.93,248.48,27.52,80.00,872.34,600.39,996.76,908.35,3377.84,111.40,103.38,45.05,88.03,52.36,312.59
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1765,2,39.00,108.39,34.94,258.76,25.32,80.34,736.78,384.21,871.60,750.87,2743.46,111.80,110.85,43.85,81.01,50.02,302.51
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1798,2,41.39,109.66,45.33,264.64,35.19,75.07,822.23,418.10,1068.26,966.14,3274.73,102.80,113.45,47.74,94.37,52.50,332.80
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1806,2,39.34,104.73,53.30,262.26,41.53,69.04,717.10,389.13,826.44,763.84,2696.51,103.01,104.36,44.68,84.32,49.50,321.60
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1846,2,39.74,108.46,51.42,283.32,32.99,77.61,844.10,410.66,1018.63,831.81,3105.20,115.81,108.18,44.32,79.58,41.57,298.97
Gorilla,gorilla,Gorilla_gorilla_gorilla,CMNH,1856,2,44.35,111.61,52.81,272.08,36.60,80.75,1058.71,639.08,1262.38,1023.19,3983.35,111.92,104.04,48.98,93.22,55.90,358.09
Hylobates,lar,Hylobates_lar,ZSM,1918.37,1,14.63,120.91,18.64,181.62,15.67,81.32,111.09,97.99,110.32,119.71,439.11,89.16,94.25,18.57,36.58,55.72,203.66
Hylobates,lar,Hylobates_lar,MCZH,41427,1,15.07,114.24,20.37,179.54,14.89,80.47,134.08,99.75,125.57,138.36,497.76,96.36,94.36,17.50,32.28,66.70,211.48
Hylobates,lar,Hylobates_lar,MCZH,41431,1,17.06,110.05,19.91,189.89,14.16,78.45,183.94,133.42,155.63,157.44,630.43,100.48,90.26,20.36,36.71,51.65,201.85
Hylobates,lar,Hylobates_lar,MCZH,41445,1,15.25,106.76,21.07,183.68,13.13,75.67,133.42,81.22,122.57,127.07,464.27,99.67,97.07,17.88,33.76,50.82,190.90
Hylobates,lar,Hylobates_lar,MCZH,41448,1,16.09,113.71,16.76,180.16,12.81,78.46,137.23,89.44,128.29,131.35,486.32,100.37,97.81,19.58,35.10,44.58,176.52
Hylobates,lar,Hylobates_lar,MCZH,41464,1,15.11,118.68,17.28,190.25,13.15,83.05,129.27,92.69,119.00,123.56,464.52,99.93,95.84,18.47,38.11,51.79,203.08
Hylobates,lar,Hylobates_lar,MCZH,41484,1,16.63,106.33,17.70,186.46,11.00,79.18,154.76,113.79,154.37,152.74,575.66,99.93,95.84,19.21,35.41,67.27,218.11
Hylobates,lar,Hylobates_lar,ZSM,1918.38,2,17.12,129.71,22.36,182.13,18.19,92.51,165.08,135.72,150.97,170.59,622.35,99.93,95.84,20.47,37.77,62.82,221.41
Hylobates,lar,Hylobates_lar,MCZH,35950,2,15.04,120.24,17.20,170.75,14.22,82.87,122.25,98.52,119.82,124.03,464.61,96.78,95.03,18.28,35.93,60.74,199.39
Hylobates,lar,Hylobates_lar,MCZH,41412,2,15.59,109.86,17.50,187.67,10.95,82.15,145.12,88.07,132.08,134.95,500.21,102.42,98.00,19.09,38.49,51.87,200.35
Hylobates,lar,Hylobates_lar,MCZH,41414,2,15.80,119.80,18.14,190.40,15.41,81.34,138.28,98.08,122.01,132.14,490.52,97.69,94.20,18.70,39.86,68.00,231.00
Hylobates,lar,Hylobates_lar,MCZH,41419,2,17.77,126.03,20.47,190.36,18.05,85.45,175.28,153.72,159.38,173.09,661.47,93.07,91.90,21.02,38.70,51.29,240.29
Hylobates,lar,Hylobates_lar,MCZH,41424,2,16.67,123.73,18.59,172.71,16.33,82.31,145.98,97.98,159.78,168.78,582.67,98.17,103.16,19.18,37.39,65.21,209.36
Hylobates,lar,Hylobates_lar,MCZH,41440,2,15.21,130.34,19.96,175.68,14.28,94.08,128.02,75.26,123.87,131.51,458.65,102.98,104.12,17.16,32.24,63.96,206.22
Hylobates,lar,Hylobates_lar,MCZH,41442,2,16.93,125.11,20.81,184.46,16.69,86.35,179.88,136.49,151.84,165.02,633.23,92.52,95.61,19.28,39.41,66.63,225.82
Hylobates,lar,Hylobates_lar,MCZH,41494,2,15.75,114.89,16.30,182.33,11.82,83.45,144.99,94.96,141.12,145.39,526.45,101.95,95.55,18.24,38.78,63.73,215.12
Hylobates,lar,Hylobates_lar,ZSM,1918.38a,2,15.47,110.05,24.18,205.91,16.36,76.01,123.52,107.14,129.31,144.09,504.06,89.65,101.35,18.97,38.01,47.38,209.62
Macaca,fascicularis,Macaca_fascicularis,MCZH,35611,1,13.21,111.56,13.58,120.97,15.06,63.01,99.13,48.22,101.63,79.51,328.48,115.66,95.13,14.69,27.57,44.75,124.77
Macaca,fascicularis,Macaca_fascicularis,MCZH,35619,1,12.13,110.98,14.83,127.77,16.68,61.02,84.26,38.77,80.49,72.03,275.55,103.45,106.93,13.12,25.75,42.34,124.71
Macaca,fascicularis,Macaca_fascicularis,MCZH,35729,1,13.50,112.54,12.14,124.52,15.42,60.93,100.18,50.36,101.74,81.34,333.63,114.96,91.65,14.18,26.34,43.25,122.58
Macaca,fascicularis,Macaca_fascicularis,MCZH,271168,1,13.49,117.52,13.22,120.52,14.86,67.29,109.07,64.39,111.70,92.35,377.52,110.46,98.44,14.90,24.69,46.52,124.17
Macaca,fascicularis,Macaca_fascicularis,MCZH,35634,2,10.77,109.72,11.83,119.86,12.06,66.58,68.19,44.73,68.60,64.04,245.56,105.21,99.54,12.28,25.09,49.62,124.88
Macaca,fascicularis,Macaca_fascicularis,MCZ,35652,2,10.16,102.82,10.46,107.93,10.04,63.06,53.15,28.40,59.69,42.58,183.82,117.35,98.86,11.92,24.05,49.71,113.47
Macaca,fascicularis,Macaca_fascicularis,MCZH,35658,2,9.99,108.45,9.43,109.43,11.02,65.04,60.94,31.58,59.34,41.50,193.37,116.57,97.77,11.19,22.42,44.94,109.28
Macaca,fascicularis,Macaca_fascicularis,MCZH,35693,2,9.65,104.20,9.11,102.50,10.26,61.78,55.05,28.16,54.05,43.95,181.22,111.02,96.32,10.86,24.06,39.91,100.00
Macaca,fascicularis,Macaca_fascicularis,MCZ,35724,2,10.67,108.95,10.43,111.72,11.25,65.88,63.99,35.90,64.61,49.54,214.04,115.41,94.65,12.32,27.79,39.05,107.39
Macaca,fascicularis,Macaca_fascicularis,USNM,344989,2,11.39,105.67,11.52,118.84,10.41,70.99,84.05,47.92,79.34,59.39,270.68,123.32,90.18,12.17,25.15,52.51,128.53
Macaca,nemestrina,Macaca_nemestrina,MCZH,35670,1,16.36,109.11,18.11,180.54,19.49,64.14,160.99,89.51,153.99,118.31,522.79,114.78,101.75,18.18,36.25,56.52,200.53
Macaca,nemestrina,Macaca_nemestrina,MCZH,35602,2,15.30,114.46,16.59,159.30,14.57,74.28,126.09,71.98,136.35,106.92,441.33,111.73,96.97,17.23,27.53,52.63,168.09
Macaca,nemestrina,Macaca_nemestrina,MCZH,35631,2,15.06,104.87,15.30,149.26,11.98,71.65,130.21,74.83,128.38,110.86,444.28,110.87,94.21,16.80,29.60,40.77,139.24
Macaca,nemestrina,Macaca_nemestrina,MCZH,35649,2,15.30,113.69,14.17,161.70,14.42,73.53,142.58,88.86,134.22,102.56,468.21,114.43,94.74,16.68,31.03,53.70,173.18
Macaca,nemestrina,Macaca_nemestrina,MCZH,35687,2,14.76,108.36,12.23,146.90,12.26,69.28,124.60,63.32,128.84,91.78,408.54,119.16,99.24,15.90,30.68,51.35,153.83
Macaca,nemestrina,Macaca_nemestrina,MCZH,37676,2,15.17,98.08,13.48,157.93,12.09,63.19,131.29,63.43,134.31,92.22,421.26,126.19,96.89,16.43,26.22,44.92,146.45
